name,country
Raúl Jiménez,Mexico
Gilberto Mora,Mexico
Germán Berterame,Mexico
Hirving Lozano,Mexico
Santiago Giménez,Mexico
Roberto Alvarado,Mexico
Alexis Vega,Mexico
César Huerta,Mexico
Diego Lainez,Mexico
Armando González,Mexico
Edson Álvarez,Mexico
Orbelín Pineda,Mexico
Luis Chávez,Mexico
Erik Lira,Mexico
Marcel Ruíz,Mexico
Guillermo 'Memo' Ochoa,Mexico
Luis Malagón,Mexico
Raúl Rangel,Mexico
Emmanuel 'Emi' Ochoa,Mexico
Carlos Acevedo,Mexico
Johan Vásquez,Mexico
César Montes,Mexico
Jesús Orozco,Mexico
Israel Reyes,Mexico
Julián Araujo,Mexico
Jesús Gallardo,Mexico
Rodrigo Huescas,Mexico
Jorge Sánchez,Mexico
Ramón Juárez,Mexico
Memphis Depay,Netherlands
Cody Gakpo,Netherlands
Donyell Malen,Netherlands
Steven Bergwijn,Netherlands
Noa Lang,Netherlands
Frenkie de Jong,Netherlands
Ryan Gravenberch,Netherlands
Tijjani Reijnders,Netherlands
Xavi Simons,Netherlands
Teun Koopmeiners,Netherlands
Quinten Timber,Netherlands
Virgil van Dijk,Netherlands
Nathan Aké,Netherlands
Denzel Dumfries,Netherlands
Matthijs de Ligt,Netherlands
Micky van de Ven,Netherlands
Lutsharel Geertruida,Netherlands
Jurriën Timber,Netherlands
Jorrel Hato,Netherlands
Bart Verbruggen,Netherlands
Mark Flekken,Netherlands
Robin Roefs,Netherlands
Kjell Scherpen,Netherlands
Chris Wood,New Zealand
Elijah Just,New Zealand
Ben Waine,New Zealand
Callum McCowatt,New Zealand
Sarpreet Singh,New Zealand
Ben Old,New Zealand
Ryan Thomas,New Zealand
Marko Stamenić,New Zealand
Alex Rufer,New Zealand
Joe Bell,New Zealand
Tyler Bindon,New Zealand
Finn Surman,New Zealand
Lukas Kelly-Heald,New Zealand
Luke Brooke-Smith,New Zealand
Michael Boxall,New Zealand
Kyle Adams,New Zealand
Francis De Vries,New Zealand
Bill Tuiloma,New Zealand
Alex Paulsen,New Zealand
Kees Sims,New Zealand
Max Crocombe,New Zealand
Oliver Sail,New Zealand
Erling Haaland,Norway
Alexander Sørloth,Norway
Antonio Nusa,Norway
Martin Ødegaard,Norway
Jørgen Strand Larsen,Norway
Oscar Bobb,Norway
Sander Berge,Norway
Patrick Berg,Norway
Morten Thorsby,Norway
Kristian Thorstvedt,Norway
Sverre Nypan,Norway
Julian Ryerson,Norway
Leo Østigård,Norway
Kristoffer Ajer,Norway
Sondre Langås,Norway
David Møller Wolfe,Norway
Ørjan Nyland,Norway
Mathias Dyngeland,Norway
Egil Selvik,Norway
Sander Tangvik,Norway
Musa Al-Taamari,Jordan
Yazan Al-Naimat,Jordan
Ali Olwan,Jordan
Mahmoud Al-Mardi,Jordan
Mohannad Abu Taha,Jordan
Mohammad Abu Zraiq 'Sharara',Jordan
Nizar Al-Rashdan,Jordan
Rajaei Ayed,Jordan
Amer Jamous,Jordan
Ibrahim Saadeh,Jordan
Noor Al-Rawabdeh,Jordan
Yazan Al-Arab,Jordan
Abdallah Nasib,Jordan
Mohammad Abu Hasheesh,Jordan
Husam Abu Dahab,Jordan
Adham Al Quraishi,Jordan
Saed Al-Rosan,Jordan
Hadi Al-Hourani,Jordan
Yazeed Abu Laila,Jordan
Abdallah Al Fakhouri,Jordan
Noureddin Zaid Ateyah,Jordan
Malek Shalabiya,Jordan
José Fajardo,Panama
Ismael Díaz,Panama
Adalberto 'Coco' Carrasquilla,Panama
José Luis Rodríguez,Panama
