name,country
Emiliano Martinez,Argentina
Geronimo Rulli,Argentina
Juan Musso,Argentina
Gonzalo Montiel,Argentina
Nahuel Molina,Argentina
Lisandro Martinez,Argentina
Nicolas Otamendi,Argentina
Leonardo Balerdi,Argentina
Cristian Romero,Argentina
Facundo Medina,Argentina
Nicolas Tagliafico,Argentina
Leandro Paredes,Argentina
Rodrigo De Paul,Argentina
Exequiel Palacios,Argentina
Enzo Fernandez,Argentina
Alexis Mac Allister,Argentina
Giovani Lo Celso,Argentina
Valentin Barco,Argentina
Lionel Messi,Argentina
Nicolas Paz,Argentina
Thiago Almada,Argentina
Nicolas Gonzalez,Argentina
Giuliano Simeone,Argentina
Lautaro Martinez,Argentina
Jose Manuel Lopez,Argentina
Julian Alvarez,Argentina
Luca Zidane,Algeria
Oussama Benbot,Algeria
Melvin Mastil,Algeria
Abdelatif Ramdane,Algeria
Rafik Belghali,Algeria
Samir Chergui,Algeria
Rayan Ait-Nouri,Algeria
Jaouen Hadjam,Algeria
Aissa Mandi,Algeria
Ramy Bensebaini,Algeria
Zineddine Belaid,Algeria
Achref Abada,Algeria
Mohamed Amine Tougai,Algeria
Nabil Bentaleb,Algeria
Hicham Boudaoui,Algeria
Houssem Aouar,Algeria
Fares Chaibi,Algeria
Ibrahim Maza,Algeria
Yacine Titraoui,Algeria
Ramiz Zerrouki,Algeria
Mohamed Amoura,Algeria
Nadhir Benbouali,Algeria
Adil Boulbina,Algeria
Fares Ghedjemis,Algeria
Amine Gouiri,Algeria
Anis Hadj Moussa,Algeria
Riyad Mahrez,Algeria
Nikola Vasilj,Bosnia and Herzegovina
Martin Zlomislic,Bosnia and Herzegovina
Osman Hadzikic,Bosnia and Herzegovina
Sead Kolasinac,Bosnia and Herzegovina
Amar Dedic,Bosnia and Herzegovina
Nihad Mujakic,Bosnia and Herzegovina
Nikola Katic,Bosnia and Herzegovina
Tarik Muharemovic,Bosnia and Herzegovina
Stjepan Radeljic,Bosnia and Herzegovina
Dennis Hadzikadunic,Bosnia and Herzegovina
Nidal Celik,Bosnia and Herzegovina
Amir Hadziahmetovic,Bosnia and Herzegovina
Ivan Sunjic,Bosnia and Herzegovina
Ivan Basic,Bosnia and Herzegovina
Dzenis Burnic,Bosnia and Herzegovina
